abs_ms,drop_N,transit_us,pulse_top_us,pulse_bot_us,top_raw,bot_raw
3200,1,29763,19448,19466,1841,1796
11526,2,29883,19419,19434,1823,1806
21049,3,29964,19533,19278,1789,1807
30638,4,29810,19468,19659,1776,1790
39858,5,30018,19427,19612,1827,1823
48357,6,29942,19045,18714,1801,1772
57751,7,29966,19134,19754,1789,1797
66618,8,29828,19745,19691,1830,1819
75833,9,29643,19284,19359,1834,1792
85884,10,29595,19170,19730,1862,1815
95260,11,30156,19471,19073,1804,1828
103610,12,29808,19575,19405,1841,1817
113654,13,29954,19317,19331,1795,1828
122398,14,29782,19724,19282,1811,1744
130910,15,29658,19624,19858,1819,1807
