abs_ms,drop_N,transit_us,pulse_top_us,pulse_bot_us,top_raw,bot_raw
3200,1,29750,15755,16335,1818,1777
5047,2,29922,16026,16320,1850,1778
6881,3,29800,16879,15641,1840,1790
8671,4,30275,16197,16872,1806,1810
10426,5,29627,16218,16115,1826,1736
12406,6,29758,16722,15897,1828,1894
14127,7,29426,16036,16341,1840,1838
15903,8,29399,16069,16572,1833,1741
17699,9,30149,16837,16368,1829,1762
19423,10,29811,16350,16374,1805,1765
21152,11,29510,16393,15506,1810,1813
23088,12,29817,16500,16080,1797,1779
25025,13,30048,16346,17199,1819,1818
26852,14,29744,16894,16651,1778,1788
28690,15,29995,15795,15523,1762,1797
