campaign_id,run_id,drop_idx,v_true_ul,v_est_ul,d_actual_mm
847,12705,29,46.17711318301494,45.967519394089344,9.943095150997193
609,9138,18,48.275211026814375,45.44318014908439,10.11637360828207
508,7622,0,52.918475561136894,52.32381193344797,10.128909203166069
586,8790,28,48.780401213721206,47.246691527928725,10.065395763782474
233,3497,5,49.231582411516925,49.39394709625081,9.98802247921237
432,6480,25,41.50713757440009,44.21099263775617,9.86344255100129
611,9167,13,49.95276405324984,51.694674680648525,9.934994305323242
724,10861,15,46.66651346459823,48.304414442545315,9.985960942172474
64,963,19,51.61226769627099,50.91650311801912,10.055064431674268
987,14809,13,48.099742571366725,48.6708180532675,9.865440377551685
653,9797,17,50.807582157345244,48.072582182985514,10.186901503664034
236,3543,0,49.84882278744881,51.29574648188025,9.810239224839446
806,12092,15,47.56766963890447,51.90468890174873,9.771009468196041
783,11745,19,46.68462579526306,50.413047621624386,9.799829294570907
554,8314,14,49.5672749035092,50.30816614150962,9.966549440687055
416,6242,10,52.89623375335208,50.51649433553813,10.212655266018386
96,1441,6,53.57055605633496,54.71437378758374,9.891624788386721
387,5807,14,48.50743147454987,46.66048549489516,10.136541868692664
463,6946,17,47.908486403651125,46.75551700441181,10.050293193960583
951,14269,22,43.03024715821239,45.476767124923974,9.773895932419641
333,4995,7,46.86605798544489,46.93863239860943,9.993532745807478
523,7847,0,48.32169302762192,48.22782183349775,10.116218093898619
484,7264,16,49.795350007569624,51.07060087930232,9.933946884419438
758,11374,20,51.0769728183554,51.86319834503887,9.96130110896441
715,10728,13,55.461842805258925,54.565962366441894,10.094343806614896
625,9375,20,48.410000864814215,51.02386146712177,9.998868278603053
810,12150,12,46.143091115641276,45.66838246528474,9.95517103727389
143,2148,23,52.12728462527605,52.04794003235511,9.989807357648909
931,13969,26,44.4224045555919,45.72516038974348,9.89819452487898
360,5401,2,50.00728076624265,49.36280991681699,9.996216425920053
827,12405,21,45.19964909197741,47.44388113849758,9.918813761307252
758,11371,6,49.40381466859451,48.22782183349775,10.071361359306943
322,4834,12,55.5342365952805,53.75798996468815,10.03323511162559
534,8010,21,51.182501387884265,49.6470159612804,10.034242559115649
145,2175,25,46.654743179460745,48.47430085612692,9.871683707520527
770,11552,2,51.73316493921236,48.94683337897269,10.151597261275054
408,6124,14,44.55599924359336,43.36621966847794,9.929709495555633
387,5805,22,51.61441020001099,48.6708180532675,10.15147579737416
958,14372,11,50.83967382415661,47.90955743133372,10.205784820120837
956,14343,16,51.466427079481505,51.47807716396567,10.04751270665296
498,7474,13,48.954758044699624,49.817624114570606,9.898466257259296
823,12346,4,46.72787424648835,46.88075492991767,9.887423661935713
62,932,16,48.606206393783026,45.967519394089344,10.194578453889935
431,6467,5,48.01985209576411,48.22782183349775,10.023603889942079
546,8192,25,44.870404640034366,42.945361611227305,10.1501008121106
493,7398,5,44.58076119501631,44.104202846675214,10.086374131946807
932,13981,17,46.91129913750255,44.516022458019336,10.154674240946434
681,10217,8,48.858647843594774,49.17343873011821,10.058252379025316
485,7279,26,52.99532722260849,52.10841400775863,10.029046120643851
797,11958,21,52.27122698636698,50.85786607604633,10.14600086059685
765,11475,25,44.83734763348867,45.111004001590224,9.99924411137777
499,7485,16,50.501735642607244,52.10841400775863,9.973834294108572
202,3034,19,52.500581115299866,51.655791888235235,10.046972370201448
267,4007,19,49.52089790083791,52.82091670477118,9.864569818379891
