abs_ms,drop_N,transit_us,pulse_top_us,pulse_bot_us,top_raw,bot_raw
3200,1,30071,17768,17582,1789,1827
6868,2,30106,17491,18085,1809,1847
10488,3,29670,17161,17454,1862,1824
14211,4,29206,17713,17666,1803,1781
17810,5,30231,17183,17371,1860,1786
21344,6,29824,17127,17565,1783,1826
24944,7,30370,17584,17909,1780,1796
28602,8,30236,16995,17797,1837,1846
32330,9,29813,17343,17125,1825,1794
36293,10,29647,17596,17029,1808,1807
40041,11,30162,17486,17164,1833,1815
43729,12,29624,17840,17526,1840,1838
47438,13,29871,18145,17573,1811,1803
51304,14,29829,17655,17858,1804,1748
54957,15,29857,17317,17761,1838,1770
